City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,grande prairie,55.1667,-118.8027,292.25,68,75,2.57,CA,1690239244
229,san antonio de pale,-1.4014,5.6325,295.93,83,100,4.02,GQ,1690239244
230,port mathurin,-19.6833,63.4167,296.09,77,65,8.24,MU,1690239244
231,daru,-9.0763,143.2092,297.91,72,100,2.51,PG,1690239245
232,port douglas,-16.4833,145.4667,291.36,58,10,4.22,AU,1690239246
233,baardheere,2.3446,42.2764,296.98,73,67,7.23,SO,1690239246
234,south sioux city,42.4739,-96.4136,304.82,50,0,4.12,US,1690239246
235,joaima,-16.6542,-41.0306,291.71,73,21,1.26,BR,1690239247
236,kone,-21.0595,164.8658,295.04,59,98,3.73,NC,1690239247
237,ad-damazin,11.7891,34.3592,298.12,80,74,3.7,SD,1690239247
238,jablonec nad nisou,50.7243,15.1711,292.23,83,94,2.03,CZ,1690239247
239,el granada,37.5027,-122.4694,303.68,65,20,7.72,US,1690239248
240,nabire,-3.3667,135.4833,299.03,81,74,2.0,ID,1690239248
241,fale old settlement,-9.3852,-171.2468,301.88,72,6,7.67,TK,1690239248
242,ust-nera,64.5667,143.2,291.97,65,98,3.87,RU,1690239249
243,walvis bay,-22.9575,14.5053,284.31,87,88,1.03,NA,1690239249
244,malvan,16.0667,73.4667,299.68,85,100,9.24,IN,1690239250
245,ain taya,36.7933,3.2869,302.06,54,40,1.54,DZ,1690239250
246,igrim,63.1906,64.4162,289.47,78,100,1.4,RU,1690239251
247,kudahuvadhoo,2.6708,72.8944,301.15,79,36,4.54,MV,1690239251
248,santa rita,-7.1139,-34.9781,297.52,83,0,4.12,BR,1690239251
249,port moresby,-9.4431,147.1797,294.83,88,40,1.54,PG,1690239252
250,bel ombre,-4.6167,55.4167,299.06,83,40,7.2,SC,1690239252
251,thunder bay,48.4001,-89.3168,297.14,41,20,5.66,CA,1690239242
252,capayan,-28.761,-66.0502,288.59,44,55,1.28,AR,1690239252
253,minab,27.1467,57.0801,304.85,72,100,1.82,IR,1690239253
254,tofol,5.3248,163.0078,304.03,70,75,1.54,FM,1690239253
255,le vauclin,14.5452,-60.8388,299.18,89,75,2.06,MQ,1690239253
256,luganville,-15.5333,167.1667,298.31,92,99,3.7,VU,1690239253
257,medina,24.4686,39.6142,309.39,9,0,3.09,SA,1690239048
258,hithadhoo,-0.6,73.0833,301.52,78,100,6.59,MV,1690239254
259,bardai,11.65,7.2333,296.34,81,30,4.68,NG,1690239254
260,butte,39.6499,-121.5677,308.72,25,0,3.6,US,1690239254
261,nadi,-17.8,177.4167,299.15,69,100,2.06,FJ,1690239254
262,flying fish cove,-10.4217,105.6791,296.97,88,75,4.12,CX,1690239255
263,nafplio,37.5683,22.8053,301.46,50,0,1.02,GR,1690239255
264,minas de marcona,-15.2119,-75.1103,286.67,80,5,6.59,PE,1690239255
265,selfoss,63.9331,-20.9971,285.4,92,76,2.32,IS,1690239255
266,gadani,25.1185,66.7299,301.27,85,100,3.48,PK,1690239256
267,namibe,-15.1961,12.1522,290.37,86,86,3.15,AO,1690239093
268,anadyr,64.75,177.4833,285.43,81,75,6.71,RU,1690239256
269,jaguaquara,-13.5306,-39.9708,288.45,97,18,1.6,BR,1690239256
270,jamestown,42.097,-79.2353,298.16,66,40,4.12,US,1690239256
271,vorgashor,67.5833,63.95,289.04,74,95,1.18,RU,1690239257
272,aripuana,-9.1667,-60.6333,299.54,41,7,1.03,BR,1690239257
273,olanchito,15.5,-86.5667,302.06,68,7,2.5,HN,1690239257
274,iskateley,67.6803,53.1512,288.02,85,99,3.55,RU,1690239257
